City,Country
Adama,Ethiopia
Allentown,USA
Amherst,USA
Banjul,The Gambia
Baton Rouge,USA
Butuan City,Philippines
Charleston,USA
Chattanooga,USA
Columbia,USA
Dubuque,USA
Elizabeth,USA
Fargo,USA
Fort Collins,USA
Freetown,Sierra Leone
Gezer,Israel
Glasgow,UK
Manchester,UK
Hampton ,USA
Helsinki,Finland
Hermosillo,Mexico
Highland Park,USA
Jackson,USA
Kansas City,USA
Kitchener,Canada
Knoxville,USA
Kumasi,Ghana
Lancaster,USA
Lansing,USA
Lincoln,USA
Liverpool,UK
Maipu,Chile
Masaka,Uganda
Missoula,USA
São Paulo,Brazil
Moncton,Canada
Monterrey,Mexico
Montevideo ,Uruguay
Nansana,Uganda
New Bedford,USA
New Orleans,USA
Oklahoma City,USA
Paterson,USA
Providence,USA
Quelimane,Mozambique
Quillota,Chile
Raleigh,USA
Regina,Canada
Renca,Chile
Rochester,USA
Rourkela,India
Sacramento,USA
San Bernardino,USA
San Francisco,USA
San Pedro Garza García,Mexico
Sandy Springs,USA
Santa Fe,USA
Sarajevo,Bosnia and Herzegovina
Scottsdale,USA
Scranton,USA
Sintra,Portugal
Skopje,Macedonia
Sheffield,UK
St.  Louis,USA
St. Petersburg,USA
Stamford,USA
Tacoma,USA
The Hague,Netherlands
Tirana,Albania
Torino,Italy
Tulsa,USA
Turku,Finland
Vancouver,USA
West Palm Beach,USA
West Sacramento,USA
White Plains,USA
Youngstown,USA
